compound_id	chemical_description	analysis_platform	refractive_index	molar_mass	superpathway	subpathway	pubchem_id	cas_number	kegg_id	hmdb_id
38768	(14 or 15)-methylpalmitate (a17:0 or i17:0)	LC/MS Neg	5695	269.2487	Lipid	Fatty Acid, Branched				
40719	(15:0)-anacardic acid	LC/MS Neg	5895	347.2592	Xenobiotics	Food Component/Plant	167551	16611-84-0	C10759	
41397	(15:2)-anacardic acid	LC/MS Neg	5565	343.2279	Xenobiotics	Food Component/Plant	11824131	11034-77-8		HMDB33896
64092	(15:3)-anacardic acid	LC/MS Neg	5483	341.2122	Xenobiotics	Food Component/Plant	5388781	103904-73-0		HMDB31059
38296	(16 or 17)-methylstearate (a19:0 or i19:0)	LC/MS Neg	5993	297.2799	Lipid	Fatty Acid, Branched	3083779	2724-59-6		HMDB37397
62396	(3'-5')-adenylyladenosine*	LC/MS Neg	2173	595.142	Nucleotide	Dinucleotide	94231			
62760	(3'-5')-adenylylguanosine*	LC/MS Neg	1980	611.1369	Nucleotide	Dinucleotide	444337			
52740	(3'-5')-adenylyluridine	LC/MS Neg	2002	572.1148	Nucleotide	Dinucleotide	112074	3051-84-1		
62397	(3'-5')-cytidylylcytidine*	LC/MS Neg	1472	547.1195	Nucleotide	Dinucleotide	94237			
52745	(3'-5')-cytidylylguanosine	LC/MS Neg	1537	587.1257	Nucleotide	Dinucleotide	65101	2382-65-2		
62399	(3'-5')-cytidylyluridine*	LC/MS Neg	1522	548.1036	Nucleotide	Dinucleotide				
62761	(3'-5')-guanylyladenosine*	LC/MS Neg	1950	611.1369	Nucleotide	Dinucleotide				
52746	(3'-5')-guanylylcytidine	LC/MS Neg	1670	587.1257	Nucleotide	Dinucleotide	107595	4785-04-0		
52743	(3'-5')-guanylyluridine	LC/MS Neg	1772	588.1097	Nucleotide	Dinucleotide		4785-07-03 00:00:00		
62398	(3'-5')-uridylylcytidine*	LC/MS Neg	1591	548.1036	Nucleotide	Dinucleotide				
52742	(3'-5')-uridylylguanosine	LC/MS Neg	1637	588.1097	Nucleotide	Dinucleotide	107394	3474-04-02 00:00:00		
52741	(3'-5')-uridylyluridine	LC/MS Neg	1688	549.0876	Nucleotide	Dinucleotide	102258	2415-43-2		
38665	(R)-salsolinol	LC/MS Pos Early	2525	180.1019	Amino Acid	Tyrosine Metabolism	54456	70681-20-8	C09642	HMDB05199
63339	(S)-a-amino-omega-caprolactam	LC/MS Pos Early	2378	129.1022	Xenobiotics	Food Component/Plant	439823	21568-87-6	C05328	
48761	1,2,3-benzenetriol sulfate (1)	LC/MS Neg	1453	204.9812	Xenobiotics	Chemical				
48762	1,2,3-benzenetriol sulfate (2)	LC/MS Neg	1709	204.9812	Xenobiotics	Chemical				
54892	1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)	LC/MS Pos Late	1941	954.6149	Lipid	Galactosyl Glycerolipids				
54891	1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*	LC/MS Pos Late	2046	792.562	Lipid	Galactosyl Glycerolipids	5282287		C13871	
54897	1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*	LC/MS Pos Late	2256	958.6462	Lipid	Galactosyl Glycerolipids				
54899	1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*	LC/MS Pos Late	2415	796.5933	Lipid	Galactosyl Glycerolipids	6535011			
52603	1,2-dilinoleoyl-GPC (18:2/18:2)	LC/MS Pos Late	2006	782.5694	Lipid	Phosphatidylcholine (PC)	5288075	998-06-1		HMDB08138
