rrs_library_id	sample_id	filename_r1	filename_r2	rrs_library_notes	sra_accession
DFS.001.Baseline	SS01002	DFS.001.Baseline_R1.fastq	DFS.001.Baseline_R2.fastq		SRR15102561
DFS.001.E1	DS0097_002	DFS.001.E1_R1.fastq	DFS.001.E1_R2.fastq		SRR15102560
DFS.001.E2	DS0097_003	DFS.001.E2_R1.fastq	DFS.001.E2_R2.fastq		SRR15102449
DFS.001.E3	DS0097_004	DFS.001.E3_R1.fastq	DFS.001.E3_R2.fastq		SRR15102419
DFS.001.E4	DS0097_005	DFS.001.E4_R1.fastq	DFS.001.E4_R2.fastq		SRR15102408
DFS.001.E5	DS0097_006	DFS.001.E5_R1.fastq	DFS.001.E5_R2.fastq		SRR15102397
DFS.001.FMTi	DS0097_001	DFS.001.FMTi_R1.fastq	DFS.001.FMTi_R2.fastq		SRR15102386
DFS.001.Post.1	SS01007	DFS.001.Post.1_R1.fastq	DFS.001.Post.1_R2.fastq		SRR15102375
DFS.001.Post.2	SS01008	DFS.001.Post.2_R1.fastq	DFS.001.Post.2_R2.fastq		SRR15102364
DFS.001.Post.3	SS01012	DFS.001.Post.3_R1.fastq	DFS.001.Post.3_R2.fastq		SRR15102353
DFS.001.Post.4	SS01016	DFS.001.Post.4_R1.fastq	DFS.001.Post.4_R2.fastq		SRR15102559
DFS.001.Post.5	SS01019	DFS.001.Post.5_R1.fastq	DFS.001.Post.5_R2.fastq		SRR15102548
DFS.001.Post.6	SS01022	DFS.001.Post.6_R1.fastq	DFS.001.Post.6_R2.fastq		SRR15102537
DFS.001.Post.7	SS01026	DFS.001.Post.7_R1.fastq	DFS.001.Post.7_R2.fastq		SRR15102526
DFS.001.Post.8	SS01048	DFS.001.Post.8_R1.fastq	DFS.001.Post.8_R2.fastq		SRR15102515
DFS.001.Post.9	SS01070	DFS.001.Post.9_R1.fastq	DFS.001.Post.9_R2.fastq		SRR15102504
DFS.004.Baseline	SS01000	DFS.004.Baseline_R1.fastq	DFS.004.Baseline_R2.fastq		SRR15102493
DFS.004.E1	DS0097_008	DFS.004.E1_R1.fastq	DFS.004.E1_R2.fastq		SRR15102482
DFS.004.E2	DS0097_009	DFS.004.E2_R1.fastq	DFS.004.E2_R2.fastq		SRR15102471
DFS.004.E3	DS0097_010	DFS.004.E3_R1.fastq	DFS.004.E3_R2.fastq		SRR15102460
DFS.004.E4	DS0097_011	DFS.004.E4_R1.fastq	DFS.004.E4_R2.fastq		SRR15102448
DFS.004.E5	DS0097_012	DFS.004.E5_R1.fastq	DFS.004.E5_R2.fastq		SRR15102437
DFS.004.E6	DS0097_013	DFS.004.E6_R1.fastq	DFS.004.E6_R2.fastq		SRR15102427
DFS.004.FMTi	DS0097_007	DFS.004.FMTi_R1.fastq	DFS.004.FMTi_R2.fastq		SRR15102426
DFS.004.Post.1	SS01004	DFS.004.Post.1_R1.fastq	DFS.004.Post.1_R2.fastq		SRR15102425
DFS.004.Post.2	SS01005	DFS.004.Post.2_R1.fastq	DFS.004.Post.2_R2.fastq		SRR15102424
DFS.004.Post.3	SS01006	DFS.004.Post.3_R1.fastq	DFS.004.Post.3_R2.fastq		SRR15102423
DFS.004.Post.4	SS01009	DFS.004.Post.4_R1.fastq	DFS.004.Post.4_R2.fastq		SRR15102422
DFS.004.Post.5	SS01011	DFS.004.Post.5_R1.fastq	DFS.004.Post.5_R2.fastq		SRR15102421
DFS.004.Post.6	SS01015	DFS.004.Post.6_R1.fastq	DFS.004.Post.6_R2.fastq		SRR15102420
DFS.004.Post.7	SS01018	DFS.004.Post.7_R1.fastq	DFS.004.Post.7_R2.fastq		SRR15102418
DFS.004.Post.8	SS01042	DFS.004.Post.8_R1.fastq	DFS.004.Post.8_R2.fastq		SRR15102417
DFS.004.Post.9	SS01067	DFS.004.Post.9_R1.fastq	DFS.004.Post.9_R2.fastq		SRR15102416
DFS.004.post.abx	SS01001	DFS.004.post.abx_R1.fastq	DFS.004.post.abx_R2.fastq		SRR15102415
DFS.007.Baseline	SS01020	DFS.007.Baseline_R1.fastq	DFS.007.Baseline_R2.fastq		SRR15102414
DFS.007.FMTi	DS0485_001	DFS.007.FMTi_R1.fastq	DFS.007.FMTi_R2.fastq		SRR15102413
DFS.007.Post.3	SS01032	DFS.007.Post.3_R1.fastq	DFS.007.Post.3_R2.fastq		SRR15102412
DFS.007.Post.4	SS01034	DFS.007.Post.4_R1.fastq	DFS.007.Post.4_R2.fastq		SRR15102411
DFS.007.Post.5	SS01039	DFS.007.Post.5_R1.fastq	DFS.007.Post.5_R2.fastq		SRR15102410
DFS.007.Post.6	SS01043	DFS.007.Post.6_R1.fastq	DFS.007.Post.6_R2.fastq		SRR15102409
DFS.007.Post.7	SS01046	DFS.007.Post.7_R1.fastq	DFS.007.Post.7_R2.fastq		SRR15102407
DFS.007.Post.8	SS01062	DFS.007.Post.8_R1.fastq	DFS.007.Post.8_R2.fastq		SRR15102406
DFS.007.Post.9	SS01093	DFS.007.Post.9_R1.fastq	DFS.007.Post.9_R2.fastq		SRR15102405
DFS.008.Baseline	SS01038	DFS.008.Baseline_R1.fastq	DFS.008.Baseline_R2.fastq		SRR15102404
DFS.008.FMTi	DS0485_002	DFS.008.FMTi_R1.fastq	DFS.008.FMTi_R2.fastq		SRR15102403
DFS.008.Post.2	SS01047	DFS.008.Post.2_R1.fastq	DFS.008.Post.2_R2.fastq		SRR15102402
DFS.008.Post.3	SS01054	DFS.008.Post.3_R1.fastq	DFS.008.Post.3_R2.fastq		SRR15102401
DFS.008.Post.4	SS01052	DFS.008.Post.4_R1.fastq	DFS.008.Post.4_R2.fastq		SRR15102400
DFS.008.Post.5	SS01055	DFS.008.Post.5_R1.fastq	DFS.008.Post.5_R2.fastq		SRR15102399
DFS.008.Post.6	SS01059	DFS.008.Post.6_R1.fastq	DFS.008.Post.6_R2.fastq		SRR15102398
DFS.008.Post.7	SS01063	DFS.008.Post.7_R1.fastq	DFS.008.Post.7_R2.fastq		SRR15102396
DFS.008.Post.8	SS01087	DFS.008.Post.8_R1.fastq	DFS.008.Post.8_R2.fastq		SRR15102395
DFS.008.Post.9	SS01119	DFS.008.Post.9_R1.fastq	DFS.008.Post.9_R2.fastq		SRR15102394
DFS.013.Baseline	SS01013	DFS.013.Baseline_R1.fastq	DFS.013.Baseline_R2.fastq		SRR15102393
DFS.013.E1	DS0097_015	DFS.013.E1_R1.fastq	DFS.013.E1_R2.fastq		SRR15102392
DFS.013.E5	DS0097_016	DFS.013.E5_R1.fastq	DFS.013.E5_R2.fastq		SRR15102391
DFS.013.E6	DS0097_017	DFS.013.E6_R1.fastq	DFS.013.E6_R2.fastq		SRR15102390
DFS.013.FMTi	DS0097_014	DFS.013.FMTi_R1.fastq	DFS.013.FMTi_R2.fastq		SRR15102389
DFS.013.Post.1	SS01017	DFS.013.Post.1_R1.fastq	DFS.013.Post.1_R2.fastq		SRR15102388
DFS.013.Post.2	SS01023	DFS.013.Post.2_R1.fastq	DFS.013.Post.2_R2.fastq		SRR15102387
DFS.013.Post.3	SS01027	DFS.013.Post.3_R1.fastq	DFS.013.Post.3_R2.fastq		SRR15102385
DFS.013.Post.4	SS01030	DFS.013.Post.4_R1.fastq	DFS.013.Post.4_R2.fastq		SRR15102384
DFS.013.Post.5	SS01033	DFS.013.Post.5_R1.fastq	DFS.013.Post.5_R2.fastq		SRR15102383
DFS.013.Post.6	SS01036	DFS.013.Post.6_R1.fastq	DFS.013.Post.6_R2.fastq		SRR15102382
DFS.013.Post.7	SS01037	DFS.013.Post.7_R1.fastq	DFS.013.Post.7_R2.fastq		SRR15102381
DFS.013.Post.8	SS01053	DFS.013.Post.8_R1.fastq	DFS.013.Post.8_R2.fastq		SRR15102380
