sample_id	extraction_volume	extraction_mass
SS01002	2	0.1424
SS01007	2	0.1409
SS01008	2	0.1028
SS01012	2	0.1479
SS01016	2	0.0911
SS01019	2	0.1141
SS01022	2	0.1047
SS01026	2	0.1589
SS01048	2	0.0895
SS01000	2	0.1281
SS01001	2	0.1277
SS01004	2	0.1091
SS01005	2	0.1286
SS01006	2	0.1443
SS01009	2	0.1512
SS01011	2	0.1121
SS01015	2	0.0823
SS01018	2	0.1299
SS01042	2	0.1177
SS01020	2	0.0865
SS01032	2	0.0761
SS01034	2	0.0713
SS01039	2	0.1044
SS01043	2	0.1078
SS01046	2	0.0692
SS01062	2	0.0955
SS01038	2	0.2075
SS01052	2	0.1315
SS01055	2	0.0724
SS01059	2	0.0822
SS01054	2	0.096
SS01063	2	0.071
SS01087	2	0.0676
SS01013	2	0.1185
SS01017	2	0.1279
SS01023	2	0.0982
SS01027	2	0.1203
SS01030	2	0.1061
SS01033	2	0.1159
SS01036	2	0.1121
SS01037	2	0.0746
SS01053	2	0.0786
SS01083	2	0.1277
SS01068	2	0.1806
SS01069	2	0.0871
SS01072	2	0.1853
SS01076	2	0.116
SS01080	2	0.0874
SS01084	2	0.1341
SS01086	2	0.104
SS01105	2	0.1461
SS01057	0.95	0.1099
SS01056	2	0.102
SS01060	2	0.0685
SS01066	2	0.1471
SS01073	2	0.0935
SS01075	2	0.0976
SS01078	2	0.1756
SS01088	2	0.1422
SS01081	2	0.0884
SS01098	2	0.0911
SS01094	2	0.1013
SS01090	2	0.1171
SS01091	2	0.1478
SS01097	2	0.0963
SS01092	2	0.1272
SS01100	2	0.0823
SS01103	2	0.0955
SS01108	2	0.1453
SS01125	2	0.0894
SS01117	2	0.1144
SS01120	2	0.0712
SS01123	2	0.1316
SS01126	2	0.131
SS01127	2	0.1181
SS01128	2	0.1071
SS01130	2	0.167
SS01131	2	0.1001
SS01133	2	0.1798
SS01135	2	0.0798
SS01136	2	0.1192
SS01140	2	0.1568
SS01149	2	0.1285
SS01146	2	0.1584
SS01147	2	0.1475
SS01153	2	0.134
SS01165	2	0.0846
SS01134	2	0.0836
SS01137	2	0.133
SS01138	2	0.1305
SS01139	2	0.1022
SS01141	2	0.167
SS01142	2	0.1376
SS01145	2	0.1008
SS01151	2	0.1205
SS01148	2	0.1227
SS01162	2	0.069
SS01150	2	0.1014
SS01154	2	0.1596
SS01155	2	0.1331
SS01156	2	0.1004
SS01160	2	0.1099
SS01157	2	0.1091
SS01158	2	0.1387
SS01161	2	0.1266
SS01166	2	0.1541
SS01164	2	0.1549
SS01163	2	0.105
SS01169	2	0.0966
SS01168	2	0.1304
SS01167	2	0.1583
SS01170	2	0.1156
SS01171	2	0.0769
SS01172	2	0.1162
SS01185	2	0.1165
